lr: 2.5384461538374445e-08Epoch 1, Train Loss:6.06, Valid_Loss:4.53, Valid_Accuracy:50.92% 
lr: 4.076892307697093e-08Epoch 2, Train Loss:11.89, Valid_Loss:7.58, Valid_Accuracy:50.31% 
lr: 5.615338461534538e-08Epoch 3, Train Loss:10.48, Valid_Loss:11.67, Valid_Accuracy:47.85% 
lr: 7.153784615394186e-08Epoch 4, Train Loss:7.73, Valid_Loss:13.12, Valid_Accuracy:46.01% 
lr: 8.692230769231631e-08Epoch 5, Train Loss:12.24, Valid_Loss:5.29, Valid_Accuracy:49.08% 
lr: 1.0230676923069075e-07Epoch 6, Train Loss:5.53, Valid_Loss:9.42, Valid_Accuracy:50.31% 
lr: 1.1769123076928724e-07Epoch 7, Train Loss:4.80, Valid_Loss:7.45, Valid_Accuracy:49.69% 
lr: 1.330756923076617e-07Epoch 8, Train Loss:11.82, Valid_Loss:11.22, Valid_Accuracy:52.76% 
lr: 1.4846015384625817e-07Epoch 9, Train Loss:8.68, Valid_Loss:5.61, Valid_Accuracy:57.06% 
lr: 1.6384461538463263e-07Epoch 10, Train Loss:7.47, Valid_Loss:6.21, Valid_Accuracy:46.01% 
lr: 1.7922907692300707e-07Epoch 11, Train Loss:10.90, Valid_Loss:8.14, Valid_Accuracy:46.01% 
lr: 1.9461353846160356e-07Epoch 12, Train Loss:9.26, Valid_Loss:11.11, Valid_Accuracy:47.85% 
lr: 2.09997999999978e-07Epoch 13, Train Loss:8.00, Valid_Loss:5.07, Valid_Accuracy:46.63% 
lr: 2.2538246153835244e-07Epoch 14, Train Loss:9.20, Valid_Loss:6.63, Valid_Accuracy:53.99% 
lr: 2.4076692307694893e-07Epoch 15, Train Loss:10.13, Valid_Loss:8.77, Valid_Accuracy:45.40% 
lr: 2.561513846153234e-07Epoch 16, Train Loss:9.84, Valid_Loss:8.44, Valid_Accuracy:52.15% 
lr: 2.7153584615391984e-07Epoch 17, Train Loss:8.87, Valid_Loss:7.89, Valid_Accuracy:48.47% 
lr: 2.869203076922943e-07Epoch 18, Train Loss:6.50, Valid_Loss:4.12, Valid_Accuracy:50.31% 
lr: 3.0230476923066877e-07Epoch 19, Train Loss:10.37, Valid_Loss:12.02, Valid_Accuracy:53.99% 
lr: 3.1768923076926526e-07Epoch 20, Train Loss:8.27, Valid_Loss:7.75, Valid_Accuracy:53.37% 
lr: 3.3307369230763967e-07Epoch 21, Train Loss:8.95, Valid_Loss:7.76, Valid_Accuracy:52.76% 
lr: 3.4845815384623616e-07Epoch 22, Train Loss:9.96, Valid_Loss:9.64, Valid_Accuracy:52.15% 
lr: 3.638426153846106e-07Epoch 23, Train Loss:7.46, Valid_Loss:7.60, Valid_Accuracy:52.76% 
lr: 3.7922707692298504e-07Epoch 24, Train Loss:5.31, Valid_Loss:7.19, Valid_Accuracy:53.37% 
lr: 3.9461153846158153e-07Epoch 25, Train Loss:5.82, Valid_Loss:6.91, Valid_Accuracy:49.08% 
lr: 4.09995999999956e-07Epoch 26, Train Loss:9.37, Valid_Loss:7.08, Valid_Accuracy:51.53% 
lr: 4.253804615385525e-07Epoch 27, Train Loss:8.30, Valid_Loss:7.36, Valid_Accuracy:55.21% 
lr: 4.407649230769269e-07Epoch 28, Train Loss:9.18, Valid_Loss:9.76, Valid_Accuracy:53.37% 
lr: 4.5614938461530136e-07Epoch 29, Train Loss:9.71, Valid_Loss:12.70, Valid_Accuracy:53.99% 
lr: 4.7153384615389786e-07Epoch 30, Train Loss:9.42, Valid_Loss:7.01, Valid_Accuracy:58.90% 
lr: 4.869183076922723e-07Epoch 31, Train Loss:9.55, Valid_Loss:7.10, Valid_Accuracy:59.51% 
lr: 5.023027692308688e-07Epoch 32, Train Loss:14.39, Valid_Loss:7.93, Valid_Accuracy:55.21% 
lr: 5.176872307692432e-07Epoch 33, Train Loss:10.08, Valid_Loss:9.31, Valid_Accuracy:51.53% 
lr: 5.330716923076176e-07Epoch 34, Train Loss:8.10, Valid_Loss:9.58, Valid_Accuracy:56.44% 
lr: 5.484561538462142e-07Epoch 35, Train Loss:10.75, Valid_Loss:6.63, Valid_Accuracy:61.35% 
lr: 5.638406153845886e-07Epoch 36, Train Loss:12.18, Valid_Loss:7.05, Valid_Accuracy:60.12% 
lr: 5.792250769231851e-07Epoch 37, Train Loss:7.88, Valid_Loss:10.89, Valid_Accuracy:60.74% 
lr: 5.946095384615595e-07Epoch 38, Train Loss:6.72, Valid_Loss:11.82, Valid_Accuracy:53.37% 
lr: 6.09993999999934e-07Epoch 39, Train Loss:10.74, Valid_Loss:5.29, Valid_Accuracy:57.06% 
lr: 6.253784615385305e-07Epoch 40, Train Loss:10.94, Valid_Loss:7.64, Valid_Accuracy:53.99% 
lr: 6.407629230769049e-07Epoch 41, Train Loss:6.91, Valid_Loss:8.54, Valid_Accuracy:56.44% 
lr: 6.561473846152793e-07Epoch 42, Train Loss:6.72, Valid_Loss:10.04, Valid_Accuracy:60.12% 
lr: 6.715318461538759e-07Epoch 43, Train Loss:6.16, Valid_Loss:7.13, Valid_Accuracy:63.19% 
lr: 6.869163076922503e-07Epoch 44, Train Loss:7.95, Valid_Loss:7.96, Valid_Accuracy:61.96% 
lr: 7.023007692308467e-07Epoch 45, Train Loss:16.10, Valid_Loss:8.24, Valid_Accuracy:59.51% 
lr: 7.176852307692212e-07Epoch 46, Train Loss:15.50, Valid_Loss:8.80, Valid_Accuracy:52.76% 
lr: 7.330696923075957e-07Epoch 47, Train Loss:11.67, Valid_Loss:6.78, Valid_Accuracy:65.03% 
lr: 7.484541538461922e-07Epoch 48, Train Loss:8.60, Valid_Loss:7.46, Valid_Accuracy:61.35% 
lr: 7.638386153845666e-07Epoch 49, Train Loss:8.74, Valid_Loss:9.81, Valid_Accuracy:65.03% 
lr: 7.79223076923163e-07Epoch 50, Train Loss:10.73, Valid_Loss:7.71, Valid_Accuracy:67.48% 
lr: 7.946075384615376e-07Epoch 51, Train Loss:8.13, Valid_Loss:7.49, Valid_Accuracy:60.12% 
lr: 8.09991999999912e-07Epoch 52, Train Loss:5.38, Valid_Loss:8.11, Valid_Accuracy:64.42% 
lr: 8.253764615385084e-07Epoch 53, Train Loss:7.04, Valid_Loss:5.41, Valid_Accuracy:66.87% 
lr: 8.407609230768829e-07Epoch 54, Train Loss:9.44, Valid_Loss:7.85, Valid_Accuracy:67.48% 
lr: 8.561453846154794e-07Epoch 55, Train Loss:7.93, Valid_Loss:9.93, Valid_Accuracy:65.64% 
lr: 8.715298461538538e-07Epoch 56, Train Loss:8.67, Valid_Loss:10.67, Valid_Accuracy:69.94% 
lr: 8.869143076922283e-07Epoch 57, Train Loss:9.90, Valid_Loss:9.28, Valid_Accuracy:57.67% 
lr: 9.022987692308247e-07Epoch 58, Train Loss:7.41, Valid_Loss:7.07, Valid_Accuracy:65.64% 
lr: 9.176832307691992e-07Epoch 59, Train Loss:10.57, Valid_Loss:8.69, Valid_Accuracy:67.48% 
lr: 9.330676923077957e-07Epoch 60, Train Loss:11.44, Valid_Loss:7.80, Valid_Accuracy:73.01% 
lr: 9.484521538461701e-07Epoch 61, Train Loss:8.66, Valid_Loss:7.06, Valid_Accuracy:73.01% 
lr: 9.638366153845444e-07Epoch 62, Train Loss:9.46, Valid_Loss:8.86, Valid_Accuracy:63.19% 
lr: 9.792210769231409e-07Epoch 63, Train Loss:6.27, Valid_Loss:6.21, Valid_Accuracy:66.87% 
lr: 9.946055384615154e-07Epoch 64, Train Loss:8.09, Valid_Loss:8.28, Valid_Accuracy:65.64% 
lr: 1.0099899999998899e-06Epoch 65, Train Loss:8.57, Valid_Loss:6.16, Valid_Accuracy:68.71% 
lr: 1.0253744615384863e-06Epoch 66, Train Loss:7.78, Valid_Loss:8.62, Valid_Accuracy:64.42% 
lr: 1.0407589230768608e-06Epoch 67, Train Loss:8.89, Valid_Loss:5.96, Valid_Accuracy:68.71% 
lr: 1.0561433846154573e-06Epoch 68, Train Loss:6.37, Valid_Loss:7.02, Valid_Accuracy:66.87% 
lr: 1.0715278461538318e-06Epoch 69, Train Loss:6.13, Valid_Loss:7.64, Valid_Accuracy:66.87% 
lr: 1.0869123076922061e-06Epoch 70, Train Loss:12.01, Valid_Loss:7.91, Valid_Accuracy:68.71% 
lr: 1.1022967692308026e-06Epoch 71, Train Loss:8.29, Valid_Loss:7.38, Valid_Accuracy:65.03% 
lr: 1.117681230769177e-06Epoch 72, Train Loss:6.78, Valid_Loss:8.05, Valid_Accuracy:72.39% 
lr: 1.1330656923077735e-06Epoch 73, Train Loss:5.90, Valid_Loss:11.43, Valid_Accuracy:64.42% 
lr: 1.148450153846148e-06Epoch 74, Train Loss:10.56, Valid_Loss:12.29, Valid_Accuracy:76.07% 
lr: 1.1638346153845225e-06Epoch 75, Train Loss:8.43, Valid_Loss:6.67, Valid_Accuracy:71.17% 
lr: 1.179219076923119e-06Epoch 76, Train Loss:8.25, Valid_Loss:7.14, Valid_Accuracy:74.23% 
lr: 1.1946035384614935e-06Epoch 77, Train Loss:5.32, Valid_Loss:10.30, Valid_Accuracy:73.62% 
lr: 1.20998800000009e-06Epoch 78, Train Loss:9.74, Valid_Loss:7.06, Valid_Accuracy:69.94% 
lr: 1.2253724615384642e-06Epoch 79, Train Loss:7.30, Valid_Loss:4.73, Valid_Accuracy:74.23% 
lr: 1.2407569230768388e-06Epoch 80, Train Loss:7.38, Valid_Loss:7.74, Valid_Accuracy:71.78% 
lr: 1.2561413846154352e-06Epoch 81, Train Loss:8.58, Valid_Loss:6.40, Valid_Accuracy:73.01% 
lr: 1.2715258461538097e-06Epoch 82, Train Loss:11.19, Valid_Loss:7.36, Valid_Accuracy:76.07% 
lr: 1.2869103076924062e-06Epoch 83, Train Loss:6.41, Valid_Loss:5.18, Valid_Accuracy:69.94% 
lr: 1.3022947692307807e-06Epoch 84, Train Loss:10.08, Valid_Loss:6.20, Valid_Accuracy:75.46% 
lr: 1.317679230769155e-06Epoch 85, Train Loss:11.55, Valid_Loss:4.32, Valid_Accuracy:77.30% 
lr: 1.3330636923077516e-06Epoch 86, Train Loss:7.77, Valid_Loss:6.31, Valid_Accuracy:68.71% 
lr: 1.348448153846126e-06Epoch 87, Train Loss:4.93, Valid_Loss:6.42, Valid_Accuracy:76.69% 
lr: 1.3638326153847226e-06Epoch 88, Train Loss:7.66, Valid_Loss:2.93, Valid_Accuracy:75.46% 
lr: 1.379217076923097e-06Epoch 89, Train Loss:6.62, Valid_Loss:9.06, Valid_Accuracy:73.01% 
lr: 1.3946015384614714e-06Epoch 90, Train Loss:15.56, Valid_Loss:5.22, Valid_Accuracy:74.23% 
lr: 1.4099860000000679e-06Epoch 91, Train Loss:7.72, Valid_Loss:4.81, Valid_Accuracy:77.30% 
lr: 1.4253704615384424e-06Epoch 92, Train Loss:10.81, Valid_Loss:7.27, Valid_Accuracy:75.46% 
lr: 1.4407549230768167e-06Epoch 93, Train Loss:5.75, Valid_Loss:7.18, Valid_Accuracy:72.39% 
lr: 1.4561393846154133e-06Epoch 94, Train Loss:7.98, Valid_Loss:10.81, Valid_Accuracy:73.62% 
