lr: 2.5384461538374445e-08Epoch 1, Train Loss:5.90, Valid_Loss:6.84, Valid_Accuracy:57.89% 
lr: 4.076892307697093e-08Epoch 2, Train Loss:6.90, Valid_Loss:7.14, Valid_Accuracy:59.06% 
lr: 5.615338461534538e-08Epoch 3, Train Loss:6.59, Valid_Loss:9.90, Valid_Accuracy:57.89% 
lr: 7.153784615394186e-08Epoch 4, Train Loss:5.41, Valid_Loss:9.07, Valid_Accuracy:60.91% 
lr: 8.692230769231631e-08Epoch 5, Train Loss:7.03, Valid_Loss:9.34, Valid_Accuracy:59.90% 
lr: 1.0230676923069075e-07Epoch 6, Train Loss:7.81, Valid_Loss:8.04, Valid_Accuracy:58.72% 
lr: 1.1769123076928724e-07Epoch 7, Train Loss:5.90, Valid_Loss:5.45, Valid_Accuracy:60.40% 
lr: 1.330756923076617e-07Epoch 8, Train Loss:6.66, Valid_Loss:8.12, Valid_Accuracy:59.06% 
lr: 1.4846015384625817e-07Epoch 9, Train Loss:5.30, Valid_Loss:7.48, Valid_Accuracy:60.23% 
lr: 1.6384461538463263e-07Epoch 10, Train Loss:5.53, Valid_Loss:6.83, Valid_Accuracy:60.57% 
lr: 1.7922907692300707e-07Epoch 11, Train Loss:5.87, Valid_Loss:10.04, Valid_Accuracy:62.42% 
lr: 1.9461353846160356e-07Epoch 12, Train Loss:8.75, Valid_Loss:5.77, Valid_Accuracy:60.57% 
lr: 2.09997999999978e-07Epoch 13, Train Loss:4.79, Valid_Loss:6.62, Valid_Accuracy:61.74% 
lr: 2.2538246153835244e-07Epoch 14, Train Loss:6.29, Valid_Loss:4.55, Valid_Accuracy:62.25% 
lr: 2.4076692307694893e-07Epoch 15, Train Loss:6.42, Valid_Loss:5.58, Valid_Accuracy:59.90% 
lr: 2.561513846153234e-07Epoch 16, Train Loss:5.38, Valid_Loss:7.50, Valid_Accuracy:60.74% 
lr: 2.7153584615391984e-07Epoch 17, Train Loss:5.55, Valid_Loss:7.24, Valid_Accuracy:60.91% 
lr: 2.869203076922943e-07Epoch 18, Train Loss:4.88, Valid_Loss:7.00, Valid_Accuracy:60.40% 
lr: 3.0230476923066877e-07Epoch 19, Train Loss:6.16, Valid_Loss:7.60, Valid_Accuracy:61.91% 
lr: 3.1768923076926526e-07Epoch 20, Train Loss:5.69, Valid_Loss:4.56, Valid_Accuracy:62.42% 
lr: 3.3307369230763967e-07Epoch 21, Train Loss:6.55, Valid_Loss:5.92, Valid_Accuracy:64.43% 
lr: 3.4845815384623616e-07Epoch 22, Train Loss:5.76, Valid_Loss:6.61, Valid_Accuracy:62.75% 
lr: 3.638426153846106e-07Epoch 23, Train Loss:7.61, Valid_Loss:5.24, Valid_Accuracy:64.09% 
lr: 3.7922707692298504e-07Epoch 24, Train Loss:4.78, Valid_Loss:11.00, Valid_Accuracy:66.11% 
lr: 3.9461153846158153e-07Epoch 25, Train Loss:4.18, Valid_Loss:7.45, Valid_Accuracy:64.26% 
lr: 4.09995999999956e-07Epoch 26, Train Loss:6.72, Valid_Loss:5.01, Valid_Accuracy:65.44% 
lr: 4.253804615385525e-07Epoch 27, Train Loss:6.17, Valid_Loss:7.41, Valid_Accuracy:67.28% 
lr: 4.407649230769269e-07Epoch 28, Train Loss:4.65, Valid_Loss:9.11, Valid_Accuracy:65.77% 
lr: 4.5614938461530136e-07Epoch 29, Train Loss:8.01, Valid_Loss:6.01, Valid_Accuracy:67.11% 
lr: 4.7153384615389786e-07Epoch 30, Train Loss:7.28, Valid_Loss:5.34, Valid_Accuracy:65.60% 
lr: 4.869183076922723e-07Epoch 31, Train Loss:6.98, Valid_Loss:6.89, Valid_Accuracy:65.10% 
lr: 5.023027692308688e-07Epoch 32, Train Loss:4.94, Valid_Loss:5.69, Valid_Accuracy:67.62% 
lr: 5.176872307692432e-07Epoch 33, Train Loss:6.10, Valid_Loss:7.89, Valid_Accuracy:68.46% 
lr: 5.330716923076176e-07Epoch 34, Train Loss:5.28, Valid_Loss:5.95, Valid_Accuracy:70.13% 
lr: 5.484561538462142e-07Epoch 35, Train Loss:6.22, Valid_Loss:9.68, Valid_Accuracy:68.96% 
lr: 5.638406153845886e-07Epoch 36, Train Loss:7.20, Valid_Loss:4.36, Valid_Accuracy:69.97% 
lr: 5.792250769231851e-07Epoch 37, Train Loss:4.71, Valid_Loss:5.75, Valid_Accuracy:71.64% 
lr: 5.946095384615595e-07Epoch 38, Train Loss:3.83, Valid_Loss:9.53, Valid_Accuracy:69.46% 
lr: 6.09993999999934e-07Epoch 39, Train Loss:4.18, Valid_Loss:9.96, Valid_Accuracy:69.97% 
lr: 6.253784615385305e-07Epoch 40, Train Loss:7.24, Valid_Loss:6.49, Valid_Accuracy:69.13% 
lr: 6.407629230769049e-07Epoch 41, Train Loss:5.60, Valid_Loss:8.54, Valid_Accuracy:68.62% 
lr: 6.561473846152793e-07Epoch 42, Train Loss:5.04, Valid_Loss:3.19, Valid_Accuracy:70.47% 
lr: 6.715318461538759e-07Epoch 43, Train Loss:3.76, Valid_Loss:7.98, Valid_Accuracy:70.13% 
lr: 6.869163076922503e-07Epoch 44, Train Loss:4.81, Valid_Loss:6.71, Valid_Accuracy:71.64% 
lr: 7.023007692308467e-07Epoch 45, Train Loss:3.38, Valid_Loss:6.40, Valid_Accuracy:72.99% 
lr: 7.176852307692212e-07Epoch 46, Train Loss:3.05, Valid_Loss:6.98, Valid_Accuracy:69.46% 
lr: 7.330696923075957e-07Epoch 47, Train Loss:4.58, Valid_Loss:6.40, Valid_Accuracy:73.66% 
lr: 7.484541538461922e-07Epoch 48, Train Loss:5.16, Valid_Loss:6.54, Valid_Accuracy:72.99% 
lr: 7.638386153845666e-07Epoch 49, Train Loss:4.80, Valid_Loss:6.01, Valid_Accuracy:70.47% 
lr: 7.79223076923163e-07Epoch 50, Train Loss:3.82, Valid_Loss:5.21, Valid_Accuracy:72.99% 
lr: 7.946075384615376e-07Epoch 51, Train Loss:5.61, Valid_Loss:5.38, Valid_Accuracy:73.83% 
lr: 8.09991999999912e-07Epoch 52, Train Loss:5.13, Valid_Loss:7.06, Valid_Accuracy:73.66% 
lr: 8.253764615385084e-07Epoch 53, Train Loss:5.25, Valid_Loss:7.55, Valid_Accuracy:72.82% 
lr: 8.407609230768829e-07Epoch 54, Train Loss:5.59, Valid_Loss:5.72, Valid_Accuracy:75.84% 
lr: 8.561453846154794e-07Epoch 55, Train Loss:4.67, Valid_Loss:3.74, Valid_Accuracy:76.17% 
lr: 8.715298461538538e-07Epoch 56, Train Loss:2.78, Valid_Loss:6.28, Valid_Accuracy:76.01% 
lr: 8.869143076922283e-07Epoch 57, Train Loss:4.66, Valid_Loss:5.85, Valid_Accuracy:75.17% 
lr: 9.022987692308247e-07Epoch 58, Train Loss:2.99, Valid_Loss:7.30, Valid_Accuracy:75.00% 
lr: 9.176832307691992e-07Epoch 59, Train Loss:4.76, Valid_Loss:5.48, Valid_Accuracy:77.68% 
lr: 9.330676923077957e-07Epoch 60, Train Loss:5.05, Valid_Loss:8.38, Valid_Accuracy:74.50% 
