lr: [0.001]Epoch 1, Train Loss:7.29, Valid_Loss:5.27, Valid_Accuracy:3.75% 
lr: [0.001]Epoch 2, Train Loss:5.88, Valid_Loss:3.87, Valid_Accuracy:15.62% 
lr: [0.0009772372209558107]Epoch 3, Train Loss:5.66, Valid_Loss:3.73, Valid_Accuracy:15.00% 
lr: [0.0009772372209558107]Epoch 4, Train Loss:5.60, Valid_Loss:3.64, Valid_Accuracy:15.62% 
lr: [0.0009772372209558107]Epoch 5, Train Loss:3.38, Valid_Loss:3.22, Valid_Accuracy:23.12% 
lr: [0.0009549925860214359]Epoch 6, Train Loss:2.54, Valid_Loss:3.30, Valid_Accuracy:30.00% 
lr: [0.0009549925860214359]Epoch 7, Train Loss:4.31, Valid_Loss:1.97, Valid_Accuracy:35.62% 
lr: [0.0009549925860214359]Epoch 8, Train Loss:4.82, Valid_Loss:1.96, Valid_Accuracy:38.12% 
lr: [0.0009332543007969909]Epoch 9, Train Loss:14.50, Valid_Loss:1.78, Valid_Accuracy:38.75% 
lr: [0.0009332543007969909]Epoch 10, Train Loss:5.98, Valid_Loss:2.40, Valid_Accuracy:46.88% 
lr: [0.0009332543007969909]Epoch 11, Train Loss:5.15, Valid_Loss:1.55, Valid_Accuracy:48.75% 
lr: [0.0009120108393559096]Epoch 12, Train Loss:3.32, Valid_Loss:1.10, Valid_Accuracy:54.38% 
lr: [0.0009120108393559096]Epoch 13, Train Loss:3.13, Valid_Loss:1.42, Valid_Accuracy:57.50% 
lr: [0.0009120108393559096]Epoch 14, Train Loss:5.74, Valid_Loss:1.71, Valid_Accuracy:63.12% 
lr: [0.0008912509381337454]Epoch 15, Train Loss:6.03, Valid_Loss:1.41, Valid_Accuracy:66.25% 
lr: [0.0008912509381337454]Epoch 16, Train Loss:7.98, Valid_Loss:1.42, Valid_Accuracy:58.12% 
lr: [0.0008912509381337454]Epoch 17, Train Loss:3.00, Valid_Loss:0.86, Valid_Accuracy:56.88% 
lr: [0.0008709635899560805]Epoch 18, Train Loss:5.34, Valid_Loss:1.30, Valid_Accuracy:60.62% 
lr: [0.0008709635899560805]Epoch 19, Train Loss:2.89, Valid_Loss:1.09, Valid_Accuracy:68.75% 
lr: [0.0008709635899560805]Epoch 20, Train Loss:4.56, Valid_Loss:0.87, Valid_Accuracy:72.50% 
lr: [0.0008511380382023764]Epoch 21, Train Loss:3.81, Valid_Loss:0.66, Valid_Accuracy:71.88% 
lr: [0.0008511380382023764]Epoch 22, Train Loss:1.98, Valid_Loss:0.84, Valid_Accuracy:77.50% 
lr: [0.0008511380382023764]Epoch 23, Train Loss:3.96, Valid_Loss:0.86, Valid_Accuracy:75.00% 
lr: [0.0008317637711026709]Epoch 24, Train Loss:2.28, Valid_Loss:0.33, Valid_Accuracy:76.25% 
lr: [0.0008317637711026709]Epoch 25, Train Loss:6.40, Valid_Loss:1.16, Valid_Accuracy:74.38% 
lr: [0.0008317637711026709]Epoch 26, Train Loss:0.42, Valid_Loss:1.41, Valid_Accuracy:70.62% 
lr: [0.0008128305161640992]Epoch 27, Train Loss:7.91, Valid_Loss:1.11, Valid_Accuracy:80.62% 
lr: [0.0008128305161640992]Epoch 28, Train Loss:2.32, Valid_Loss:0.43, Valid_Accuracy:77.50% 
lr: [0.0008128305161640992]Epoch 29, Train Loss:0.73, Valid_Loss:1.82, Valid_Accuracy:70.00% 
lr: [0.0007943282347242814]Epoch 30, Train Loss:1.10, Valid_Loss:1.36, Valid_Accuracy:83.12% 
lr: [0.0007943282347242814]Epoch 31, Train Loss:4.46, Valid_Loss:0.66, Valid_Accuracy:78.12% 
lr: [0.0007943282347242814]Epoch 32, Train Loss:4.63, Valid_Loss:1.34, Valid_Accuracy:73.12% 
lr: [0.0007762471166286916]Epoch 33, Train Loss:4.98, Valid_Loss:1.12, Valid_Accuracy:79.38% 
lr: [0.0007762471166286916]Epoch 34, Train Loss:1.92, Valid_Loss:0.45, Valid_Accuracy:79.38% 
lr: [0.0007762471166286916]Epoch 35, Train Loss:14.95, Valid_Loss:1.32, Valid_Accuracy:71.25% 
lr: [0.0007585775750291836]Epoch 36, Train Loss:2.11, Valid_Loss:1.26, Valid_Accuracy:55.00% 
lr: [0.0007585775750291836]Epoch 37, Train Loss:13.64, Valid_Loss:1.27, Valid_Accuracy:60.00% 
lr: [0.0007585775750291836]Epoch 38, Train Loss:2.81, Valid_Loss:2.92, Valid_Accuracy:31.25% 
lr: [0.0007413102413009174]Epoch 39, Train Loss:2.61, Valid_Loss:1.63, Valid_Accuracy:50.00% 
lr: [0.0007413102413009174]Epoch 40, Train Loss:3.58, Valid_Loss:1.31, Valid_Accuracy:53.12% 
lr: [0.0007413102413009174]Epoch 41, Train Loss:3.59, Valid_Loss:1.84, Valid_Accuracy:63.12% 
lr: [0.0007244359600749899]Epoch 42, Train Loss:11.43, Valid_Loss:1.08, Valid_Accuracy:63.75% 
lr: [0.0007244359600749899]Epoch 43, Train Loss:4.21, Valid_Loss:1.83, Valid_Accuracy:66.88% 
lr: [0.0007244359600749899]Epoch 44, Train Loss:1.22, Valid_Loss:1.47, Valid_Accuracy:67.50% 
lr: [0.0007079457843841378]Epoch 45, Train Loss:3.69, Valid_Loss:0.85, Valid_Accuracy:74.38% 
lr: [0.0007079457843841378]Epoch 46, Train Loss:3.39, Valid_Loss:0.72, Valid_Accuracy:65.62% 
lr: [0.0007079457843841378]Epoch 47, Train Loss:8.54, Valid_Loss:1.11, Valid_Accuracy:75.62% 
lr: [0.0006918309709189363]Epoch 48, Train Loss:6.68, Valid_Loss:0.67, Valid_Accuracy:74.38% 
lr: [0.0006918309709189363]Epoch 49, Train Loss:1.72, Valid_Loss:0.35, Valid_Accuracy:72.50% 
lr: [0.0006918309709189363]Epoch 50, Train Loss:1.77, Valid_Loss:0.43, Valid_Accuracy:70.62% 
lr: [0.0006760829753919816]Epoch 51, Train Loss:3.16, Valid_Loss:1.56, Valid_Accuracy:77.50% 
lr: [0.0006760829753919816]Epoch 52, Train Loss:2.41, Valid_Loss:0.90, Valid_Accuracy:74.38% 
lr: [0.0006760829753919816]Epoch 53, Train Loss:3.93, Valid_Loss:1.02, Valid_Accuracy:75.62% 
lr: [0.0006606934480075958]Epoch 54, Train Loss:4.90, Valid_Loss:1.17, Valid_Accuracy:75.62% 
lr: [0.0006606934480075958]Epoch 55, Train Loss:2.66, Valid_Loss:0.98, Valid_Accuracy:76.25% 
lr: [0.0006606934480075958]Epoch 56, Train Loss:3.80, Valid_Loss:0.30, Valid_Accuracy:79.38% 
lr: [0.0006456542290346553]Epoch 57, Train Loss:2.01, Valid_Loss:1.29, Valid_Accuracy:72.50% 
